case,tool,budgetSec,meanMutationScorePct
LongestIncreasingSubsequence,EvoSuite,30,100.0
LongestIncreasingSubsequence,EvoSuite,60,100.0
LongestIncreasingSubsequence,EvoSuite,120,100.0
LongestIncreasingSubsequence,Randoop,30,97.78
LongestIncreasingSubsequence,Randoop,60,98.89
LongestIncreasingSubsequence,Randoop,120,98.89
LruCache,EvoSuite,30,83.33
LruCache,EvoSuite,60,83.33
LruCache,EvoSuite,120,83.33
LruCache,Randoop,30,85.0
LruCache,Randoop,60,85.0
LruCache,Randoop,120,85.0
PricingEngine,EvoSuite,30,78.94
PricingEngine,EvoSuite,60,78.09
PricingEngine,EvoSuite,120,78.51
PricingEngine,Randoop,30,57.02
PricingEngine,Randoop,60,64.04
PricingEngine,Randoop,120,66.17
SimpleJsonParser,EvoSuite,30,75.0
SimpleJsonParser,EvoSuite,60,75.0
SimpleJsonParser,EvoSuite,120,75.0
SimpleJsonParser,Randoop,30,0.0
SimpleJsonParser,Randoop,60,0.0
SimpleJsonParser,Randoop,120,0.0
