tool,case,targetClass,budgetSec,run,seed,measurementScope,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,generationBudgetKind,generationStopReason,generationTargetTests,sourceDir,preparedDir,buildDir
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,class-family,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,10.318,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101\class-family-v1
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,2,202,class-family,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,11.215,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run2-seed202\class-family-v1
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,3,303,class-family,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,10.477,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run3-seed303\class-family-v1
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,1,101,class-family,2,9,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,10.192,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run1-seed101\class-family-v1
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,2,202,class-family,2,10,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,10.36,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run2-seed202\class-family-v1
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,3,303,class-family,2,8,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,9.96,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run3-seed303\class-family-v1
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,1,101,class-family,2,23,0,0,97.92,97.62,99.15,82.98,47,39,8,0,0,,9.59,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run1-seed101\class-family-v1
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,2,202,class-family,2,23,0,0,97.92,97.62,99.15,76.6,47,36,11,0,0,,10.289,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run2-seed202\class-family-v1
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,3,303,class-family,2,23,0,0,97.92,97.62,99.15,82.98,47,39,8,0,0,,10.284,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run3-seed303\class-family-v1
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,1,101,class-family,2,16,0,0,83.67,76.71,84.34,76.19,63,48,14,1,1,,14.563,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run1-seed101\class-family-v1
