tool,case,targetClass,budgetSec,run,seed,measurementScope,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,generationBudgetKind,generationStopReason,generationTargetTests,sourceDir,preparedDir,buildDir
QwenLLM,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,1800,1,101,class-family,10,10,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,671.9982021000033,9.354,OK,,safety_ceiling,accepted_test_quota,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LongestIncreasingSubsequence\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\LongestIncreasingSubsequence\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\LongestIncreasingSubsequence\1800\run1-seed101\class-family-v1
QwenLLM,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,1800,2,202,class-family,10,10,0,0,100.0,90.0,100.0,88.89,9,8,1,0,0,359.77258980000624,9.88,OK,,safety_ceiling,accepted_test_quota,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LongestIncreasingSubsequence\1800\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\LongestIncreasingSubsequence\1800\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\LongestIncreasingSubsequence\1800\run2-seed202\class-family-v1
QwenLLM,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,1800,3,303,class-family,10,10,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,407.17883949997486,9.78,OK,,safety_ceiling,accepted_test_quota,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LongestIncreasingSubsequence\1800\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\LongestIncreasingSubsequence\1800\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\LongestIncreasingSubsequence\1800\run3-seed303\class-family-v1
QwenLLM,LruCache,com.viktor.lab4.LruCache,1800,1,101,class-family,10,10,0,0,92.31,75.0,91.94,88.89,9,8,1,0,0,793.4026442000031,9.631,OK,,safety_ceiling,accepted_test_quota,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LruCache\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\LruCache\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\LruCache\1800\run1-seed101\class-family-v1
QwenLLM,LruCache,com.viktor.lab4.LruCache,1800,2,202,class-family,10,10,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,1284.0786980999983,10.093,OK,,safety_ceiling,accepted_test_quota,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LruCache\1800\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\LruCache\1800\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\LruCache\1800\run2-seed202\class-family-v1
QwenLLM,LruCache,com.viktor.lab4.LruCache,1800,3,303,class-family,8,8,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,1800.006055100006,9.812,OK,,safety_ceiling,time_limit,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LruCache\1800\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\LruCache\1800\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\LruCache\1800\run3-seed303\class-family-v1
QwenLLM,PricingEngine,com.viktor.lab4.PricingEngine,1800,1,101,class-family,5,5,0,0,75.0,50.0,77.87,61.7,47,29,7,0,11,1800.032298799997,9.356,OK,,safety_ceiling,time_limit,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\PricingEngine\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\PricingEngine\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\PricingEngine\1800\run1-seed101\class-family-v1
QwenLLM,PricingEngine,com.viktor.lab4.PricingEngine,1800,2,202,class-family,5,5,0,0,68.75,42.86,72.77,57.45,47,27,6,0,14,1800.0025147999986,10.055,OK,,safety_ceiling,time_limit,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\PricingEngine\1800\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\PricingEngine\1800\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\PricingEngine\1800\run2-seed202\class-family-v1
QwenLLM,PricingEngine,com.viktor.lab4.PricingEngine,1800,3,303,class-family,7,7,0,0,70.83,47.62,74.47,59.57,47,28,6,0,13,1800.0222661000153,9.984,OK,,safety_ceiling,time_limit,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\PricingEngine\1800\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\PricingEngine\1800\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\PricingEngine\1800\run3-seed303\class-family-v1
QwenLLM,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,1800,1,101,class-family,4,4,0,0,53.06,45.21,52.29,61.9,63,39,4,0,20,1800.0198664000054,10.406,OK,,safety_ceiling,time_limit,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\SimpleJsonParser\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\SimpleJsonParser\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\SimpleJsonParser\1800\run1-seed101\class-family-v1
QwenLLM,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,1800,2,202,class-family,4,4,0,0,34.69,26.03,32.53,36.51,63,23,2,0,38,1800.0128966000048,10.08,OK,,safety_ceiling,time_limit,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\SimpleJsonParser\1800\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\SimpleJsonParser\1800\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\SimpleJsonParser\1800\run2-seed202\class-family-v1
QwenLLM,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,1800,3,303,class-family,6,6,0,0,53.06,45.21,52.29,63.49,63,40,3,0,20,1800.0449408999993,10.348,OK,,safety_ceiling,time_limit,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\SimpleJsonParser\1800\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\SimpleJsonParser\1800\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\SimpleJsonParser\1800\run3-seed303\class-family-v1
