tool,case,targetClass,budgetSec,run,seed,measurementScope,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,generationBudgetKind,generationStopReason,generationTargetTests,sourceDir,preparedDir,buildDir
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,class-family,7,5142,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,25.541,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run1-seed101\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,2,202,class-family,7,5166,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,26.477,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run2-seed202\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,3,303,class-family,4,2618,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,17.882,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run3-seed303\class-family-v1
Randoop,LruCache,com.viktor.lab4.LruCache,120,1,101,class-family,3,1984,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,14.499,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LruCache\120\run1-seed101\class-family-v1
Randoop,LruCache,com.viktor.lab4.LruCache,120,2,202,class-family,4,2570,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,15.649,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LruCache\120\run2-seed202\class-family-v1
Randoop,LruCache,com.viktor.lab4.LruCache,120,3,303,class-family,2,666,0,0,76.92,50.0,72.58,33.33,9,3,3,0,3,,11.634,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LruCache\120\run3-seed303\class-family-v1
Randoop,PricingEngine,com.viktor.lab4.PricingEngine,120,1,101,class-family,3,1850,0,0,83.33,61.9,82.55,65.96,47,31,9,0,7,,19.598,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\PricingEngine\120\run1-seed101\class-family-v1
Randoop,PricingEngine,com.viktor.lab4.PricingEngine,120,2,202,class-family,3,1998,0,0,87.5,66.67,86.81,68.09,47,32,8,0,7,,17.59,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\PricingEngine\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\PricingEngine\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\PricingEngine\120\run2-seed202\class-family-v1
Randoop,PricingEngine,com.viktor.lab4.PricingEngine,120,3,303,class-family,4,2236,0,0,89.58,69.05,88.94,59.57,47,28,12,0,7,,17.438,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\PricingEngine\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\PricingEngine\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\PricingEngine\120\run3-seed303\class-family-v1
Randoop,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,1,101,class-family,2,8,0,0,21.43,20.55,21.93,7.94,63,5,11,0,47,,9.463,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\SimpleJsonParser\120\run1-seed101\class-family-v1
