program_class,generation_time_sec,run,seed,total_lines,covered_by_any,shared_lines,evosuite_exclusive,randoop_exclusive
LongestIncreasingSubsequence,120,1,101,15,15,15,0,0
LongestIncreasingSubsequence,120,2,202,15,15,15,0,0
LongestIncreasingSubsequence,120,3,303,15,15,15,0,0
LruCache,120,1,101,13,13,13,0,0
LruCache,120,2,202,13,13,13,0,0
LruCache,120,3,303,13,13,10,3,0
PricingEngine,120,1,101,48,47,40,7,0
PricingEngine,120,2,202,48,47,42,5,0
PricingEngine,120,3,303,48,47,43,4,0
SimpleJsonParser,120,1,101,98,82,21,61,0
SimpleJsonParser,120,2,202,98,81,21,60,0
SimpleJsonParser,120,3,303,98,82,21,61,0
