tool_a,tool_b,program_class,tool_a_budget_sec,run,seed,total_lines,covered_by_any,shared_lines,tool_a_exclusive,tool_b_exclusive,tool_b_budget_sec
Randoop,QwenLLM,LongestIncreasingSubsequence,120,1,101,15,15,15,0,0,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,2,202,15,15,15,0,0,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,3,303,15,15,15,0,0,1800
Randoop,QwenLLM,LruCache,120,1,101,13,13,12,1,0,1800
Randoop,QwenLLM,LruCache,120,2,202,13,13,13,0,0,1800
Randoop,QwenLLM,LruCache,120,3,303,13,13,10,0,3,1800
Randoop,QwenLLM,PricingEngine,120,1,101,48,43,33,7,3,1800
Randoop,QwenLLM,PricingEngine,120,2,202,48,44,31,11,2,1800
Randoop,QwenLLM,PricingEngine,120,3,303,48,44,33,10,1,1800
Randoop,QwenLLM,SimpleJsonParser,120,1,101,98,55,18,3,34,1800
Randoop,QwenLLM,SimpleJsonParser,120,2,202,98,39,16,5,18,1800
Randoop,QwenLLM,SimpleJsonParser,120,3,303,98,55,18,3,34,1800
