tool,case,targetClass,budgetSec,run,seed,measurementScope,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,generationBudgetKind,generationStopReason,generationTargetTests,sourceDir,preparedDir,buildDir,uniqueTestMethods
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,class-family,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,11.461,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101\class-family-v1,4
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,2,202,class-family,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,9.111,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run2-seed202\class-family-v1,4
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,3,303,class-family,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,10.232,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run3-seed303\class-family-v1,3
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,4,404,class-family,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,15.076,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run4-seed404\class-family-v1,4
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,5,505,class-family,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,13.233,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run5-seed505\class-family-v1,3
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,6,606,class-family,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,8.392,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run6-seed606\class-family-v1,4
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,7,707,class-family,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,8.469,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run7-seed707\class-family-v1,4
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,8,808,class-family,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,8.113,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run8-seed808\class-family-v1,4
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,9,909,class-family,2,5,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,8.634,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run9-seed909\class-family-v1,5
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,10,10010,class-family,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,10.528,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run10-seed10010\class-family-v1,3
