tool,case,targetClass,budgetSec,run,seed,measurementScope,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,generationBudgetKind,generationStopReason,generationTargetTests,sourceDir,preparedDir,buildDir
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,class-family,7,5142,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,24.897,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run1-seed101\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,2,202,class-family,7,5166,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,23.644,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run2-seed202\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,3,303,class-family,4,2618,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,16.544,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run3-seed303\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,4,404,class-family,7,5528,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,23.766,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run4-seed404\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,5,505,class-family,6,4262,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,19.554,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run5-seed505\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,6,606,class-family,3,1300,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,13.637,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run6-seed606\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,7,707,class-family,3,1068,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,14.586,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run7-seed707\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,8,808,class-family,4,2896,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,17.947,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run8-seed808\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,9,909,class-family,5,3352,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,17.912,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run9-seed909\class-family-v1
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,10,10010,class-family,5,3392,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,17.206,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run10-seed10010\class-family-v1
Randoop,LruCache,com.viktor.lab4.LruCache,120,1,101,class-family,3,1984,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,13.47,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LruCache\120\run1-seed101\class-family-v1
Randoop,LruCache,com.viktor.lab4.LruCache,120,2,202,class-family,4,2570,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,13.444,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LruCache\120\run2-seed202\class-family-v1
Randoop,LruCache,com.viktor.lab4.LruCache,120,3,303,class-family,2,666,0,0,76.92,50.0,72.58,33.33,9,3,3,0,3,,10.269,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LruCache\120\run3-seed303\class-family-v1
Randoop,LruCache,com.viktor.lab4.LruCache,120,4,404,class-family,6,4518,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,19.5,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LruCache\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LruCache\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LruCache\120\run4-seed404\class-family-v1
