tool_a,tool_b,program_class,tool_a_budget_sec,run,seed,total_lines,covered_by_any,shared_lines,tool_a_exclusive,tool_b_exclusive,tool_b_budget_sec
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,1,101,15,15,15,0,0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,2,202,15,15,15,0,0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,3,303,15,15,15,0,0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,4,404,15,15,15,0,0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,5,505,15,15,15,0,0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,6,606,15,15,15,0,0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,7,707,15,15,15,0,0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,8,808,15,15,15,0,0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,9,909,15,15,15,0,0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,10,10010,15,15,15,0,0,1800
EvoSuite,QwenLLM,LruCache,120,1,101,13,13,12,1,0,1800
EvoSuite,QwenLLM,LruCache,120,2,202,13,13,13,0,0,1800
EvoSuite,QwenLLM,LruCache,120,3,303,13,13,13,0,0,1800
EvoSuite,QwenLLM,LruCache,120,4,404,13,13,13,0,0,1800
EvoSuite,QwenLLM,LruCache,120,5,505,13,13,13,0,0,1800
EvoSuite,QwenLLM,LruCache,120,6,606,13,13,13,0,0,1800
EvoSuite,QwenLLM,LruCache,120,7,707,13,13,13,0,0,1800
EvoSuite,QwenLLM,LruCache,120,8,808,13,13,13,0,0,1800
EvoSuite,QwenLLM,LruCache,120,9,909,13,13,13,0,0,1800
EvoSuite,QwenLLM,LruCache,120,10,10010,13,13,13,0,0,1800
EvoSuite,QwenLLM,PricingEngine,120,1,101,48,47,36,11,0,1800
EvoSuite,QwenLLM,PricingEngine,120,2,202,48,47,33,14,0,1800
EvoSuite,QwenLLM,PricingEngine,120,3,303,48,47,34,13,0,1800
EvoSuite,QwenLLM,PricingEngine,120,4,404,48,47,3,44,0,1800
EvoSuite,QwenLLM,PricingEngine,120,5,505,48,47,31,16,0,1800
EvoSuite,QwenLLM,PricingEngine,120,6,606,48,47,35,12,0,1800
EvoSuite,QwenLLM,PricingEngine,120,7,707,48,47,35,12,0,1800
EvoSuite,QwenLLM,PricingEngine,120,8,808,48,47,35,12,0,1800
EvoSuite,QwenLLM,PricingEngine,120,9,909,48,47,33,14,0,1800
EvoSuite,QwenLLM,PricingEngine,120,10,10010,48,47,35,12,0,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,1,101,98,83,51,31,1,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,2,202,98,81,34,47,0,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,3,303,98,83,51,31,1,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,5,505,98,84,53,30,1,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,6,606,98,79,51,27,1,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,7,707,98,83,54,26,3,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,8,808,98,82,43,39,0,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,9,909,98,82,37,45,0,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,10,10010,98,80,34,46,0,1800
