tool_a,tool_b,program_class,tool_a_budget_sec,run,seed,tool_a_tests,tool_b_tests,tool_a_to_tool_b_jaccard,tool_b_to_tool_a_jaccard,mean_max_jaccard,tool_a_to_tool_b_dice,tool_b_to_tool_a_dice,mean_max_dice,tool_b_budget_sec
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,1,101,4,10,1.0,0.9928571428571429,0.9964285714285714,1.0,0.9962962962962963,0.9981481481481482,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,2,202,4,10,1.0,1.0,1.0,1.0,1.0,1.0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,3,303,3,10,1.0,0.8928571428571429,0.9464285714285714,1.0,0.8962962962962961,0.9481481481481481,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,4,404,4,10,1.0,0.9928571428571429,0.9964285714285714,1.0,0.9962962962962963,0.9981481481481482,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,5,505,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,6,606,4,10,1.0,1.0,1.0,1.0,1.0,1.0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,7,707,4,10,1.0,1.0,1.0,1.0,1.0,1.0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,8,808,4,10,1.0,1.0,1.0,1.0,1.0,1.0,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,9,909,5,10,1.0,0.9928571428571429,0.9964285714285714,1.0,0.9962962962962963,0.9981481481481482,1800
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,10,10010,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1800
EvoSuite,QwenLLM,LruCache,120,1,101,9,10,0.7057239057239058,0.8591919191919193,0.7824579124579125,0.7879072681704261,0.9234164957849169,0.8556618819776716,1800
EvoSuite,QwenLLM,LruCache,120,2,202,10,10,0.8942424242424243,0.9305050505050506,0.9123737373737375,0.9419486215538846,0.962687969924812,0.9523182957393483,1800
EvoSuite,QwenLLM,LruCache,120,3,303,8,8,0.8781565656565656,0.8983585858585859,0.8882575757575757,0.9329816017316017,0.94433170995671,0.9386566558441558,1800
EvoSuite,QwenLLM,LruCache,120,4,404,8,10,0.9092171717171718,0.9171717171717171,0.9131944444444444,0.950266290726817,0.9550324675324674,0.9526493791296422,1800
EvoSuite,QwenLLM,LruCache,120,5,505,9,10,0.8653198653198654,0.8949494949494948,0.8801346801346801,0.9255291005291006,0.9425324675324674,0.934030784030784,1800
EvoSuite,QwenLLM,LruCache,120,6,606,9,10,0.8869248035914703,0.9046717171717171,0.8957982603815937,0.9384920634920635,0.9483658008658008,0.9434289321789322,1800
EvoSuite,QwenLLM,LruCache,120,7,707,7,10,0.9105339105339105,0.885858585858586,0.8981962481962482,0.9506802721088435,0.9377705627705627,0.9442254174397031,1800
EvoSuite,QwenLLM,LruCache,120,8,808,7,10,0.8975468975468975,0.9101010101010101,0.9038239538239539,0.9438775510204083,0.9511904761904763,0.9475340136054422,1800
EvoSuite,QwenLLM,LruCache,120,9,909,9,10,0.9152076318742984,0.9006313131313132,0.9079194725028058,0.9543093845725424,0.9453896103896102,0.9498494974810763,1800
EvoSuite,QwenLLM,LruCache,120,10,10010,8,10,0.8997474747474747,0.9156565656565657,0.9077020202020203,0.9448550353155616,0.9545995670995671,0.9497273012075643,1800
EvoSuite,QwenLLM,PricingEngine,120,1,101,23,5,0.7024349119718617,0.9470588235294117,0.8247468677506367,0.8111710051067691,0.9716269841269842,0.8913989946168767,1800
EvoSuite,QwenLLM,PricingEngine,120,2,202,23,5,0.7134343219975648,0.9757575757575758,0.8445959488775703,0.8136222256980198,0.9870967741935484,0.900359499945784,1800
EvoSuite,QwenLLM,PricingEngine,120,3,303,23,7,0.7035452594104605,0.9515915457091928,0.8275684025598267,0.8051246132875229,0.9743360417171961,0.8897303275023596,1800
