tool_a,tool_b,program_class,tool_a_budget_sec,run,seed,tool_a_tests,tool_b_tests,tool_a_to_tool_b_jaccard,tool_b_to_tool_a_jaccard,mean_max_jaccard,tool_a_to_tool_b_dice,tool_b_to_tool_a_dice,mean_max_dice,tool_b_budget_sec
Randoop,QwenLLM,LongestIncreasingSubsequence,120,1,101,2571,10,0.9872404660035932,1.0,0.9936202330017966,0.99313121649124,1.0,0.99656560824562,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,2,202,2583,10,0.9837011227255131,0.7238095238095238,0.8537553232675185,0.9912963679901349,0.788888888888889,0.8900926284395119,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,3,303,1309,10,0.9861762886972971,0.8400000000000001,0.9130881443486486,0.9923464335229042,0.8571428571428571,0.9247446453328807,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,4,404,2764,10,0.9826631520915169,0.8800000000000001,0.9313315760457586,0.9907816332226234,0.9142857142857143,0.9525336737541688,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,5,505,2131,10,0.9521038636008134,1.0,0.9760519318004067,0.974659784138902,1.0,0.987329892069451,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,6,606,650,10,0.98,0.7238095238095237,0.8519047619047618,0.9886161986161986,0.788888888888889,0.8887525437525439,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,7,707,534,10,0.9344658462635992,1.0,0.9672329231317995,0.9643847967818006,1.0,0.9821923983909002,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,8,808,1448,10,0.9624144961852145,0.8800000000000001,0.9212072480926072,0.9799248735712824,0.9142857142857143,0.9471052939284983,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,9,909,1676,10,0.9860921695647233,0.7952380952380952,0.8906651324014092,0.992418319479878,0.8444444444444444,0.9184313819621612,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,10,10010,1696,10,0.9312415768194072,1.0,0.9656207884097037,0.9636383772586604,1.0,0.9818191886293302,1800
Randoop,QwenLLM,LruCache,120,1,101,992,10,0.892465990550668,1.0,0.946232995275334,0.925181974386972,1.0,0.962590987193486,1800
Randoop,QwenLLM,LruCache,120,2,202,1285,10,0.9108320559682427,1.0,0.9554160279841213,0.9497013702417098,1.0,0.9748506851208549,1800
Randoop,QwenLLM,LruCache,120,3,303,333,8,0.790790790790791,0.8721590909090909,0.8314749408499409,0.8759318141671083,0.9266917293233083,0.9013117717452084,1800
