tool,case,targetClass,budgetSec,run,seed,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,sourceDir,preparedDir
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,1,101,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,41.529,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run1-seed101
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,2,202,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,46.863,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run2-seed202
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,3,303,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,54.458,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run3-seed303
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,4,404,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,55.913,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run4-seed404
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,5,505,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,52.35,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run5-seed505
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,6,606,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,54.161,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run6-seed606
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,7,707,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,49.457,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run7-seed707
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,8,808,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,50.904,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run8-seed808
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,9,909,2,5,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,51.806,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run9-seed909
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,10,10010,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,39.094,41.158,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/30/run10-seed10010
