tool,case,targetClass,budgetSec,run,seed,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,sourceDir,preparedDir
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,1,101,3,1058,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,70.278,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run1-seed101
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,2,202,3,1064,0,0,93.33,90.0,96.67,100.0,9,9,0,0,0,,71.893,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run2-seed202
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,3,303,3,1240,0,0,93.33,90.0,96.67,100.0,9,9,0,0,0,,61.317,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run3-seed303
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,4,404,3,1184,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,70.833,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run4-seed404
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,5,505,2,816,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,61.076,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run5-seed505
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,6,606,2,160,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,60.82,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run6-seed606
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,7,707,2,186,0,0,100.0,90.0,100.0,88.89,9,8,1,0,0,,60.593,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run7-seed707
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,8,808,2,250,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,63.247,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run8-seed808
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,9,909,2,220,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,63.815,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run9-seed909
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,30,10,10010,2,372,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,34.39,52.384,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/30/run10-seed10010
