tool,case,budgetSec,runs,meanTestsExecuted,testsVariance,testsStddev,testsCI_lower,testsCI_upper,meanLineCoveragePct,lineVariance,lineStddev,lineCI_lower,lineCI_upper,meanBranchCoveragePct,branchVariance,branchStddev,branchCI_lower,branchCI_upper,meanInstructionCoveragePct,instructionVariance,instructionStddev,instructionCI_lower,instructionCI_upper,meanMutationScorePct,mutationVariance,mutationStddev,mutationCI_lower,mutationCI_upper
EvoSuite,LongestIncreasingSubsequence,30,10,3.8,0.4,0.63,3.35,4.25,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
EvoSuite,LongestIncreasingSubsequence,60,10,3.8,0.4,0.63,3.35,4.25,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
EvoSuite,LongestIncreasingSubsequence,120,10,3.8,0.4,0.63,3.35,4.25,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
EvoSuite,LruCache,30,10,8.4,0.9333,0.97,7.71,9.09,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,83.33,0.0,0.0,83.33,83.33
EvoSuite,LruCache,60,10,8.4,0.9333,0.97,7.71,9.09,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,83.33,0.0,0.0,83.33,83.33
EvoSuite,LruCache,120,10,8.4,0.9333,0.97,7.71,9.09,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,83.33,0.0,0.0,83.33,83.33
EvoSuite,PricingEngine,30,10,23.2,1.0667,1.03,22.46,23.94,97.5,0.5198,0.72,96.99,98.02,97.38,0.5664,0.75,96.84,97.92,98.72,0.6502,0.81,98.15,99.3,78.94,25.609,5.06,75.32,82.56
EvoSuite,PricingEngine,60,10,23.2,0.6222,0.79,22.64,23.76,97.5,0.5198,0.72,96.99,98.02,97.38,0.5664,0.75,96.84,97.92,98.72,0.6502,0.81,98.15,99.3,78.09,82.5535,9.09,71.59,84.58
EvoSuite,PricingEngine,120,10,23.7,0.6778,0.82,23.11,24.29,97.73,0.0,0.0,97.73,97.73,97.62,0.0,0.0,97.62,97.62,98.98,0.0,0.0,98.98,98.98,78.51,64.8252,8.05,72.75,84.27
EvoSuite,SimpleJsonParser,30,10,14.1,1.2111,1.1,13.31,14.89,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,75.0,0.0,0.0,75.0,75.0
EvoSuite,SimpleJsonParser,60,10,15.4,1.6,1.26,14.5,16.3,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,75.0,0.0,0.0,75.0,75.0
EvoSuite,SimpleJsonParser,120,10,16.2,0.6222,0.79,15.64,16.76,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,75.0,0.0,0.0,75.0,75.0
