program_class,generation_time_sec,run,seed,total_lines,covered_by_any,shared_lines,evosuite_exclusive,randoop_exclusive
LongestIncreasingSubsequence,30,1,101,15,15,15,0,0
LongestIncreasingSubsequence,30,2,202,15,15,14,1,0
LongestIncreasingSubsequence,30,3,303,15,15,14,1,0
LongestIncreasingSubsequence,30,4,404,15,15,15,0,0
LongestIncreasingSubsequence,30,5,505,15,15,15,0,0
LongestIncreasingSubsequence,30,6,606,15,15,15,0,0
LongestIncreasingSubsequence,30,7,707,15,15,15,0,0
LongestIncreasingSubsequence,30,8,808,15,15,15,0,0
LongestIncreasingSubsequence,30,9,909,15,15,15,0,0
LongestIncreasingSubsequence,30,10,10010,15,15,15,0,0
LongestIncreasingSubsequence,60,1,101,15,15,15,0,0
LongestIncreasingSubsequence,60,2,202,15,15,15,0,0
LongestIncreasingSubsequence,60,3,303,15,15,15,0,0
LongestIncreasingSubsequence,60,4,404,15,15,15,0,0
LongestIncreasingSubsequence,60,5,505,15,15,15,0,0
LongestIncreasingSubsequence,60,6,606,15,15,15,0,0
LongestIncreasingSubsequence,60,7,707,15,15,15,0,0
LongestIncreasingSubsequence,60,8,808,15,15,15,0,0
LongestIncreasingSubsequence,60,9,909,15,15,15,0,0
LongestIncreasingSubsequence,60,10,10010,15,15,15,0,0
LongestIncreasingSubsequence,120,1,101,15,15,15,0,0
LongestIncreasingSubsequence,120,2,202,15,15,15,0,0
LongestIncreasingSubsequence,120,3,303,15,15,15,0,0
LongestIncreasingSubsequence,120,4,404,15,15,15,0,0
LongestIncreasingSubsequence,120,5,505,15,15,15,0,0
LongestIncreasingSubsequence,120,6,606,15,15,15,0,0
LongestIncreasingSubsequence,120,7,707,15,15,15,0,0
LongestIncreasingSubsequence,120,8,808,15,15,15,0,0
LongestIncreasingSubsequence,120,9,909,15,15,15,0,0
LongestIncreasingSubsequence,120,10,10010,15,15,15,0,0
LruCache,30,1,101,11,11,11,0,0
LruCache,30,2,202,11,11,11,0,0
LruCache,30,3,303,11,11,9,2,0
LruCache,30,4,404,11,11,11,0,0
LruCache,30,5,505,11,11,11,0,0
LruCache,30,6,606,11,11,11,0,0
LruCache,30,7,707,11,11,11,0,0
LruCache,30,8,808,11,11,8,3,0
LruCache,30,9,909,11,11,9,2,0
LruCache,30,10,10010,11,11,11,0,0
LruCache,60,1,101,11,11,11,0,0
LruCache,60,2,202,11,11,11,0,0
LruCache,60,3,303,11,11,9,2,0
LruCache,60,4,404,11,11,11,0,0
LruCache,60,5,505,11,11,11,0,0
LruCache,60,6,606,11,11,11,0,0
LruCache,60,7,707,11,11,11,0,0
LruCache,60,8,808,11,11,8,3,0
LruCache,60,9,909,11,11,9,2,0
LruCache,60,10,10010,11,11,11,0,0
LruCache,120,1,101,11,11,11,0,0
LruCache,120,2,202,11,11,11,0,0
LruCache,120,3,303,11,11,9,2,0
LruCache,120,4,404,11,11,11,0,0
LruCache,120,5,505,11,11,11,0,0
LruCache,120,6,606,11,11,11,0,0
LruCache,120,7,707,11,11,11,0,0
LruCache,120,8,808,11,11,9,2,0
LruCache,120,9,909,11,11,9,2,0
LruCache,120,10,10010,11,11,11,0,0
PricingEngine,30,1,101,44,43,32,11,0
PricingEngine,30,2,202,44,43,37,6,0
PricingEngine,30,3,303,44,43,29,14,0
PricingEngine,30,4,404,44,43,34,9,0
PricingEngine,30,5,505,44,43,37,6,0
PricingEngine,30,6,606,44,43,38,5,0
PricingEngine,30,7,707,44,42,37,5,0
PricingEngine,30,8,808,44,43,38,5,0
PricingEngine,30,9,909,44,43,35,8,0
PricingEngine,30,10,10010,44,43,39,4,0
PricingEngine,60,1,101,44,43,36,7,0
PricingEngine,60,2,202,44,43,37,6,0
PricingEngine,60,3,303,44,43,35,8,0
PricingEngine,60,4,404,44,43,35,8,0
PricingEngine,60,5,505,44,43,37,6,0
PricingEngine,60,6,606,44,43,38,5,0
PricingEngine,60,7,707,44,43,39,4,0
PricingEngine,60,8,808,44,42,38,4,0
PricingEngine,60,9,909,44,43,38,5,0
PricingEngine,60,10,10010,44,43,39,4,0
PricingEngine,120,1,101,44,43,36,7,0
PricingEngine,120,2,202,44,43,38,5,0
PricingEngine,120,3,303,44,43,39,4,0
PricingEngine,120,4,404,44,43,37,6,0
PricingEngine,120,5,505,44,43,38,5,0
PricingEngine,120,6,606,44,43,38,5,0
PricingEngine,120,7,707,44,43,39,4,0
PricingEngine,120,8,808,44,43,38,5,0
PricingEngine,120,9,909,44,43,39,4,0
PricingEngine,120,10,10010,44,43,39,4,0
SimpleJsonParser,30,1,101,9,9,3,6,0
SimpleJsonParser,30,2,202,9,9,3,6,0
SimpleJsonParser,30,3,303,9,9,3,6,0
SimpleJsonParser,30,4,404,9,9,3,6,0
SimpleJsonParser,30,5,505,9,9,3,6,0
SimpleJsonParser,30,6,606,9,9,3,6,0
SimpleJsonParser,30,7,707,9,9,3,6,0
SimpleJsonParser,30,8,808,9,9,3,6,0
SimpleJsonParser,30,9,909,9,9,3,6,0
SimpleJsonParser,30,10,10010,9,9,3,6,0
SimpleJsonParser,60,1,101,9,9,3,6,0
SimpleJsonParser,60,2,202,9,9,3,6,0
SimpleJsonParser,60,3,303,9,9,3,6,0
SimpleJsonParser,60,4,404,9,9,3,6,0
SimpleJsonParser,60,5,505,9,9,3,6,0
SimpleJsonParser,60,6,606,9,9,3,6,0
SimpleJsonParser,60,7,707,9,9,3,6,0
SimpleJsonParser,60,8,808,9,9,3,6,0
SimpleJsonParser,60,9,909,9,9,3,6,0
SimpleJsonParser,60,10,10010,9,9,3,6,0
SimpleJsonParser,120,1,101,9,9,3,6,0
SimpleJsonParser,120,2,202,9,9,3,6,0
SimpleJsonParser,120,3,303,9,9,3,6,0
SimpleJsonParser,120,4,404,9,9,3,6,0
SimpleJsonParser,120,5,505,9,9,3,6,0
SimpleJsonParser,120,6,606,9,9,3,6,0
SimpleJsonParser,120,7,707,9,9,3,6,0
SimpleJsonParser,120,8,808,9,9,3,6,0
SimpleJsonParser,120,9,909,9,9,3,6,0
SimpleJsonParser,120,10,10010,9,9,3,6,0
