program_class,generation_time_sec,run,seed,evosuite_tests,randoop_tests,evosuite_to_randoop_jaccard,randoop_to_evosuite_jaccard,mean_max_jaccard,evosuite_to_randoop_dice,randoop_to_evosuite_dice,mean_max_dice
LongestIncreasingSubsequence,30,1,101,4,529,0.9,0.9224052569988299,0.911202628499415,0.9375,0.9583320830957883,0.9479160415478942
LongestIncreasingSubsequence,30,2,202,4,532,0.6458333333333334,0.9885427855352668,0.8171880594343001,0.725,0.99286410470621,0.858932052353105
LongestIncreasingSubsequence,30,3,303,3,620,0.7999999999999999,0.9887864823348694,0.8943932411674347,0.8571428571428571,0.9931600955794502,0.9251514763611537
LongestIncreasingSubsequence,30,4,404,4,592,0.6547619047619048,0.9838240025740025,0.8192929536679536,0.7361111111111112,0.9905307092807092,0.8633209101959102
LongestIncreasingSubsequence,30,5,505,3,408,1.0,0.972922502334267,0.9864612511671336,1.0,0.9847235190372444,0.9923617595186223
LongestIncreasingSubsequence,30,6,606,4,80,0.625,0.9830357142857145,0.8040178571428572,0.6993464052287581,0.9851851851851852,0.8422657952069716
LongestIncreasingSubsequence,30,7,707,4,93,1.0,0.9435227854582695,0.9717613927291348,1.0,0.9635603345280765,0.9817801672640383
LongestIncreasingSubsequence,30,8,808,4,125,0.85,0.9685333333333335,0.9092666666666667,0.8928571428571428,0.9785608465608466,0.9357089947089947
LongestIncreasingSubsequence,30,9,909,5,110,0.7238095238095238,0.9590476190476191,0.8414285714285714,0.788888888888889,0.972943722943723,0.880916305916306
LongestIncreasingSubsequence,30,10,10010,3,186,0.7999999999999999,0.9472350230414748,0.8736175115207374,0.8571428571428571,0.9691358024691357,0.9131393298059964
LongestIncreasingSubsequence,60,1,101,4,1170,0.9,0.9203378103378106,0.9101689051689053,0.9375,0.9578324967213855,0.9476662483606928
LongestIncreasingSubsequence,60,2,202,4,1228,0.6547619047619048,0.9874825500232666,0.8211222273925857,0.7361111111111112,0.9929898488530409,0.864550479982076
LongestIncreasingSubsequence,60,3,303,3,1412,0.7999999999999999,0.9857682449750439,0.8928841224875219,0.8571428571428571,0.9921702864337425,0.9246565717882997
