program_class,generation_time_sec,runs,samples,mean_max_jaccard,variance,stddev,ci_lower,ci_upper,mean_max_dice,variance_dice,stddev_dice,ci_lower_dice,ci_upper_dice
LongestIncreasingSubsequence,30,10,10,0.882863,0.004071,0.063807,0.837221,0.928505,0.914149,0.002702,0.051985,0.876964,0.951335
LongestIncreasingSubsequence,60,10,10,0.886303,0.003743,0.061177,0.842543,0.930064,0.919554,0.00241,0.04909,0.884439,0.954668
LongestIncreasingSubsequence,120,10,10,0.90522,0.003973,0.063032,0.860133,0.950308,0.933741,0.002507,0.050071,0.897925,0.969557
LruCache,30,10,10,0.907023,0.000499,0.022338,0.891045,0.923002,0.947719,0.000187,0.013665,0.937944,0.957493
LruCache,60,10,10,0.90463,0.000523,0.022866,0.888274,0.920987,0.946499,0.000185,0.013589,0.936779,0.95622
LruCache,120,10,10,0.908788,0.000294,0.01714,0.896528,0.921049,0.949108,0.000103,0.010172,0.941832,0.956385
PricingEngine,30,10,10,0.357725,0.001145,0.033835,0.333523,0.381928,0.381331,0.001305,0.036126,0.35549,0.407172
PricingEngine,60,10,10,0.365083,0.001809,0.042532,0.334659,0.395507,0.387054,0.002207,0.046978,0.35345,0.420658
PricingEngine,120,10,10,0.378212,0.001796,0.042378,0.347899,0.408525,0.39749,0.002351,0.048484,0.362809,0.432171
SimpleJsonParser,30,10,10,0.703229,0.000228,0.01511,0.692421,0.714037,0.751188,0.000112,0.010589,0.743614,0.758762
SimpleJsonParser,60,10,10,0.708571,0.000318,0.017838,0.695811,0.721331,0.754877,0.000156,0.012484,0.745947,0.763807
SimpleJsonParser,120,10,10,0.712763,0.00013,0.011409,0.704602,0.720923,0.757783,6.4e-05,0.007987,0.75207,0.763496
