tool,case,budgetSec,runs,meanTestsExecuted,testsVariance,testsStddev,testsCI_lower,testsCI_upper,meanLineCoveragePct,lineVariance,lineStddev,lineCI_lower,lineCI_upper,meanBranchCoveragePct,branchVariance,branchStddev,branchCI_lower,branchCI_upper,meanInstructionCoveragePct,instructionVariance,instructionStddev,instructionCI_lower,instructionCI_upper,meanMutationScorePct,mutationVariance,mutationStddev,mutationCI_lower,mutationCI_upper
Randoop,LongestIncreasingSubsequence,30,10,655.0,208444.6667,456.56,328.42,981.58,98.67,7.9091,2.81,96.65,100.68,97.0,23.3333,4.83,93.54,100.46,99.33,1.9714,1.4,98.33,100.34,97.78,21.9435,4.68,94.43,101.13
Randoop,LongestIncreasingSubsequence,60,10,1607.0,868938,932.17,940.21,2273.79,100.0,0.0,0.0,100.0,100.0,99.0,10.0,3.16,96.74,101.26,100.0,0.0,0.0,100.0,100.0,98.89,12.3432,3.51,96.38,101.4
Randoop,LongestIncreasingSubsequence,120,10,3472.4,2454273.6,1566.61,2351.79,4593.01,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,98.89,12.3432,3.51,96.38,101.4
Randoop,LruCache,30,10,640.8,243931.7333,493.89,287.51,994.09,93.64,111.0889,10.54,86.1,101.18,100.0,0.0,0.0,100.0,100.0,93.95,104.8203,10.24,86.63,101.28,85.0,583.3333,24.15,67.72,102.28
Randoop,LruCache,60,10,1462.2,1049291.0667,1024.35,729.48,2194.92,93.64,111.0889,10.54,86.1,101.18,100.0,0.0,0.0,100.0,100.0,93.95,104.8203,10.24,86.63,101.28,85.0,583.3333,24.15,67.72,102.28
Randoop,LruCache,120,10,2417.0,1761843.7778,1327.34,1467.54,3366.46,94.55,77.1196,8.78,88.26,100.83,100.0,0.0,0.0,100.0,100.0,95.12,61.8423,7.86,89.49,100.74,85.0,583.3333,24.15,67.72,102.28
Randoop,PricingEngine,30,10,765.6,47170.4889,217.19,610.24,920.96,80.91,50.723,7.12,75.81,86.0,60.0,76.6064,8.75,53.74,66.26,78.93,45.8383,6.77,74.08,83.77,57.02,31.9926,5.66,52.98,61.07
Randoop,PricingEngine,60,10,1501.0,373665.1111,611.28,1063.75,1938.25,84.55,11.24,3.35,82.15,86.94,65.95,27.7984,5.27,62.18,69.72,82.45,10.7624,3.28,80.1,84.79,64.04,9.5128,3.08,61.84,66.25
Randoop,PricingEngine,120,10,3583.4,1833656.9333,1354.13,2614.78,4552.02,86.59,5.1138,2.26,84.97,88.21,69.53,13.6115,3.69,66.89,72.16,84.49,6.1384,2.48,82.71,86.26,66.17,8.5193,2.92,64.09,68.26
Randoop,SimpleJsonParser,30,10,8.0,0,0.0,8.0,8.0,33.33,0.0,0.0,33.33,33.33,25.0,0.0,0.0,25.0,25.0,31.25,0.0,0.0,31.25,31.25,0.0,0.0,0.0,0.0,0.0
Randoop,SimpleJsonParser,60,10,8.0,0,0.0,8.0,8.0,33.33,0.0,0.0,33.33,33.33,25.0,0.0,0.0,25.0,25.0,31.25,0.0,0.0,31.25,31.25,0.0,0.0,0.0,0.0,0.0
Randoop,SimpleJsonParser,120,10,8.0,0,0.0,8.0,8.0,33.33,0.0,0.0,33.33,33.33,25.0,0.0,0.0,25.0,25.0,31.25,0.0,0.0,31.25,31.25,0.0,0.0,0.0,0.0,0.0
