"tool","case","targetClass","budgetSec","run","seed","generatedTestFiles","testsExecuted","testFailures","testSkipped","lineCoveragePct","branchCoveragePct","instructionCoveragePct","mutationScorePct","mutationsTotal","mutationsKilled","mutationsSurvived","mutationsTimedOut","mutationsNoCoverage","generationElapsedSec","analysisElapsedSec","status","error","sourceDir","preparedDir"
"EvoSuite","LongestIncreasingSubsequence","com.viktor.lab4.LongestIncreasingSubsequence","30","1","101","2","4","0","0","100","100","100","100","9","9","0","0","0","36,63","8,704","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run1-seed101","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LongestIncreasingSubsequence\\30\\run1-seed101"
"EvoSuite","LongestIncreasingSubsequence","com.viktor.lab4.LongestIncreasingSubsequence","30","2","202","2","4","0","0","100","100","100","100","9","9","0","0","0","35,994","8,275","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run2-seed202","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LongestIncreasingSubsequence\\30\\run2-seed202"
"EvoSuite","LongestIncreasingSubsequence","com.viktor.lab4.LongestIncreasingSubsequence","30","3","303","2","3","0","0","100","100","100","100","9","9","0","0","0","35,882","8,723","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run3-seed303","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LongestIncreasingSubsequence\\30\\run3-seed303"
"EvoSuite","LongestIncreasingSubsequence","com.viktor.lab4.LongestIncreasingSubsequence","60","1","101","2","4","0","0","100","100","100","100","9","9","0","0","0","66,317","8,828","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run1-seed101","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LongestIncreasingSubsequence\\60\\run1-seed101"
"EvoSuite","LongestIncreasingSubsequence","com.viktor.lab4.LongestIncreasingSubsequence","60","2","202","2","4","0","0","100","100","100","100","9","9","0","0","0","66,238","8,818","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run2-seed202","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LongestIncreasingSubsequence\\60\\run2-seed202"
"EvoSuite","LongestIncreasingSubsequence","com.viktor.lab4.LongestIncreasingSubsequence","60","3","303","2","3","0","0","100","100","100","100","9","9","0","0","0","66,216","8,678","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run3-seed303","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LongestIncreasingSubsequence\\60\\run3-seed303"
"EvoSuite","LongestIncreasingSubsequence","com.viktor.lab4.LongestIncreasingSubsequence","120","1","101","2","4","0","0","100","100","100","100","9","9","0","0","0","127,014","8,206","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LongestIncreasingSubsequence\\120\\run1-seed101"
"EvoSuite","LongestIncreasingSubsequence","com.viktor.lab4.LongestIncreasingSubsequence","120","2","202","2","4","0","0","100","100","100","100","9","9","0","0","0","127,731","8,208","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run2-seed202","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LongestIncreasingSubsequence\\120\\run2-seed202"
"EvoSuite","LongestIncreasingSubsequence","com.viktor.lab4.LongestIncreasingSubsequence","120","3","303","2","3","0","0","100","100","100","100","9","9","0","0","0","127,303","8,302","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run3-seed303","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LongestIncreasingSubsequence\\120\\run3-seed303"
"EvoSuite","LruCache","com.viktor.lab4.LruCache","30","1","101","2","9","0","0","100","100","100","83,33","6","5","1","0","0","42,777","8,434","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LruCache\30\run1-seed101","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LruCache\\30\\run1-seed101"
