program_class,generation_time_sec,run,evosuite_tests,randoop_tests,mean_max_jaccard,mean_max_dice
LongestIncreasingSubsequence,30,1,4,529,0.9,0.9375
LongestIncreasingSubsequence,30,2,4,532,0.6458333333333334,0.725
LongestIncreasingSubsequence,30,3,3,620,0.7999999999999999,0.8571428571428571
LongestIncreasingSubsequence,30,4,4,592,0.6547619047619048,0.7361111111111112
LongestIncreasingSubsequence,30,5,3,408,1.0,1.0
LongestIncreasingSubsequence,30,6,4,80,0.625,0.6993464052287581
LongestIncreasingSubsequence,30,7,4,93,1.0,1.0
LongestIncreasingSubsequence,30,8,4,125,0.85,0.8928571428571428
LongestIncreasingSubsequence,30,9,5,110,0.7238095238095238,0.788888888888889
LongestIncreasingSubsequence,30,10,3,186,0.7999999999999999,0.8571428571428571
LongestIncreasingSubsequence,60,1,4,1170,0.9,0.9375
LongestIncreasingSubsequence,60,2,4,1228,0.6547619047619048,0.7361111111111112
LongestIncreasingSubsequence,60,3,3,1412,0.7999999999999999,0.8571428571428571
LongestIncreasingSubsequence,60,4,4,1303,0.6547619047619048,0.7361111111111112
LongestIncreasingSubsequence,60,5,3,901,1.0,1.0
LongestIncreasingSubsequence,60,6,4,264,0.6547619047619048,0.7361111111111112
LongestIncreasingSubsequence,60,7,4,201,1.0,1.0
LongestIncreasingSubsequence,60,8,4,251,0.85,0.8928571428571428
LongestIncreasingSubsequence,60,9,5,596,0.7238095238095238,0.788888888888889
LongestIncreasingSubsequence,60,10,3,709,0.8666666666666667,0.9166666666666666
LongestIncreasingSubsequence,120,1,4,2571,1.0,1.0
LongestIncreasingSubsequence,120,2,4,2583,0.6547619047619047,0.7361111111111112
LongestIncreasingSubsequence,120,3,3,1309,0.7999999999999999,0.8571428571428571
LongestIncreasingSubsequence,120,4,4,2764,0.85,0.8928571428571428
LongestIncreasingSubsequence,120,5,3,2131,1.0,1.0
LongestIncreasingSubsequence,120,6,4,650,0.6547619047619048,0.7361111111111112
LongestIncreasingSubsequence,120,7,4,534,1.0,1.0
LongestIncreasingSubsequence,120,8,4,1448,0.85,0.8928571428571428
LongestIncreasingSubsequence,120,9,5,1676,0.7238095238095237,0.788888888888889
LongestIncreasingSubsequence,120,10,3,1696,1.0,1.0
LruCache,30,1,9,723,1.0,1.0
LruCache,30,2,10,748,0.9857142857142858,0.9923076923076923
LruCache,30,3,8,178,0.8705357142857143,0.9255952380952381
LruCache,30,4,8,498,0.9861111111111112,0.9926470588235294
LruCache,30,5,9,291,0.9435626102292769,0.9698340874811464
LruCache,30,6,9,148,0.9876543209876544,0.9934640522875817
LruCache,30,7,7,240,1.0,1.0
LruCache,30,8,7,93,0.842687074829932,0.9070643642072213
LruCache,30,9,9,138,0.8809523809523809,0.9312169312169313
LruCache,30,10,8,147,0.9317956349206349,0.9633347045111751
LruCache,60,1,9,1585,1.0,1.0
LruCache,60,2,10,1508,1.0,1.0
LruCache,60,3,8,179,0.8705357142857143,0.9255952380952381
LruCache,60,4,8,1060,0.9682539682539683,0.9830316742081449
LruCache,60,5,9,621,0.91005291005291,0.9506033182503771
LruCache,60,6,9,615,1.0,1.0
LruCache,60,7,7,798,1.0,1.0
LruCache,60,8,7,164,0.8426870748299319,0.9070643642072215
LruCache,60,9,9,265,0.8809523809523809,0.9312169312169313
LruCache,60,10,8,516,0.9704861111111112,0.9843137254901961
LruCache,120,1,9,992,1.0,1.0
LruCache,120,2,10,1285,0.9857142857142858,0.9923076923076923
LruCache,120,3,8,333,0.8705357142857143,0.9255952380952381
LruCache,120,4,8,2259,1.0,1.0
LruCache,120,5,9,1444,0.9559082892416225,0.9763700351935647
LruCache,120,6,9,1893,1.0,1.0
LruCache,120,7,7,1809,1.0,1.0
LruCache,120,8,7,349,0.8809523809523808,0.930612244897959
