program_class,generation_time_sec,runs,mean_max_jaccard,variance,stddev,ci_lower,ci_upper,mean_max_dice,variance_dice,stddev_dice,ci_lower_dice,ci_upper_dice
LongestIncreasingSubsequence,30,10,0.79994,0.01931,0.138961,0.700541,0.89934,0.849399,0.01218,0.110362,0.770456,0.928342
LongestIncreasingSubsequence,60,10,0.810476,0.018326,0.135374,0.713642,0.90731,0.860139,0.011179,0.105729,0.78451,0.935767
LongestIncreasingSubsequence,120,10,0.853333,0.020505,0.143197,0.750903,0.955763,0.890397,0.011898,0.109078,0.812373,0.968421
LruCache,30,10,0.942901,0.003496,0.059127,0.900607,0.985196,0.967546,0.001198,0.034612,0.942788,0.992305
LruCache,60,10,0.944297,0.003847,0.062023,0.899931,0.988662,0.968183,0.001306,0.03614,0.942332,0.994034
LruCache,120,10,0.954455,0.003042,0.055158,0.915,0.99391,0.974042,0.001023,0.031984,0.951163,0.99692
PricingEngine,30,10,0.507242,0.003069,0.055402,0.467612,0.546871,0.550059,0.00206,0.045391,0.51759,0.582528
PricingEngine,60,10,0.514703,0.003331,0.057712,0.473421,0.555985,0.551748,0.002312,0.048088,0.51735,0.586146
PricingEngine,120,10,0.544701,0.003185,0.056438,0.50433,0.585072,0.575562,0.002276,0.047703,0.54144,0.609684
SimpleJsonParser,30,10,0.823124,0.000913,0.030219,0.801508,0.84474,0.877376,0.000448,0.021177,0.862227,0.892524
SimpleJsonParser,60,10,0.833809,0.001273,0.035676,0.808289,0.859328,0.884755,0.000623,0.024968,0.866895,0.902615
SimpleJsonParser,120,10,0.842192,0.000521,0.022817,0.825871,0.858513,0.890565,0.000255,0.015973,0.87914,0.901991
