program_class,generation_time_sec,run,total_lines,covered_by_any,shared_lines,evosuite_exclusive,randoop_exclusive
LongestIncreasingSubsequence,30,1,15,15,15,0,0
LongestIncreasingSubsequence,30,2,15,15,14,1,0
LongestIncreasingSubsequence,30,3,15,15,14,1,0
LongestIncreasingSubsequence,30,4,15,15,15,0,0
LongestIncreasingSubsequence,30,5,15,15,15,0,0
LongestIncreasingSubsequence,30,6,15,15,15,0,0
LongestIncreasingSubsequence,30,7,15,15,15,0,0
LongestIncreasingSubsequence,30,8,15,15,15,0,0
LongestIncreasingSubsequence,30,9,15,15,15,0,0
LongestIncreasingSubsequence,30,10,15,15,15,0,0
LongestIncreasingSubsequence,60,1,15,15,15,0,0
LongestIncreasingSubsequence,60,2,15,15,15,0,0
LongestIncreasingSubsequence,60,3,15,15,15,0,0
LongestIncreasingSubsequence,60,4,15,15,15,0,0
LongestIncreasingSubsequence,60,5,15,15,15,0,0
LongestIncreasingSubsequence,60,6,15,15,15,0,0
LongestIncreasingSubsequence,60,7,15,15,15,0,0
LongestIncreasingSubsequence,60,8,15,15,15,0,0
LongestIncreasingSubsequence,60,9,15,15,15,0,0
LongestIncreasingSubsequence,60,10,15,15,15,0,0
LongestIncreasingSubsequence,120,1,15,15,15,0,0
LongestIncreasingSubsequence,120,2,15,15,15,0,0
LongestIncreasingSubsequence,120,3,15,15,15,0,0
LongestIncreasingSubsequence,120,4,15,15,15,0,0
LongestIncreasingSubsequence,120,5,15,15,15,0,0
LongestIncreasingSubsequence,120,6,15,15,15,0,0
LongestIncreasingSubsequence,120,7,15,15,15,0,0
LongestIncreasingSubsequence,120,8,15,15,15,0,0
LongestIncreasingSubsequence,120,9,15,15,15,0,0
LongestIncreasingSubsequence,120,10,15,15,15,0,0
LruCache,30,1,11,11,11,0,0
LruCache,30,2,11,11,11,0,0
LruCache,30,3,11,11,9,2,0
LruCache,30,4,11,11,11,0,0
LruCache,30,5,11,11,11,0,0
LruCache,30,6,11,11,11,0,0
LruCache,30,7,11,11,11,0,0
LruCache,30,8,11,11,8,3,0
LruCache,30,9,11,11,9,2,0
LruCache,30,10,11,11,11,0,0
LruCache,60,1,11,11,11,0,0
LruCache,60,2,11,11,11,0,0
LruCache,60,3,11,11,9,2,0
LruCache,60,4,11,11,11,0,0
LruCache,60,5,11,11,11,0,0
LruCache,60,6,11,11,11,0,0
LruCache,60,7,11,11,11,0,0
LruCache,60,8,11,11,8,3,0
